QhJ in [];E1 in []
0,5;-10,635283682667298
0,6;-10,921453266400958
0,7;-11,264272607354364
0,8;-11,6643072844949
0,9;-12,120061830900534
1;-12,627503029350084
1,1;-13,180550305721553
1,2;-13,772218186296058
1,3;-14,395716282768042
1,4;-15,045096223497843
1,5;-15,715455069836956
1,6;-16,402878283089
1,7;-17,104281905595325
1,8;-17,817241678819173
1,9;-18,53984406363869
2;-19,270567365334333
