QhJ in [];E1-E0 in []
0,5;0,0003207266806821707
0,6;0,0018613028193108505
0,7;0,007952394195291035
0,8;0,02662843514591451
0,9;0,07180714531560639
1;0,15740341364923793
1,1;0,285548084733378
1,2;0,44553233734747444
1,3;0,6244412204824776
1,4;0,8134174622879531
1,5;1,0075698441114795
1,6;1,2043922939031333
1,7;1,402618483814308
1,8;1,6016011967994004
1,9;1,8010024874221031
2;2,000641453361606
